Date,Bank Rate,Date Format,Year
19/02/2021,0.1,02/19/2021,2021
22/02/2021,0.1,02/22/2021,2021
23/02/2021,0.1,02/23/2021,2021
24/02/2021,0.1,02/24/2021,2021
25/02/2021,0.1,02/25/2021,2021
26/02/2021,0.1,02/26/2021,2021
01/03/2021,0.1,03/01/2021,2021
02/03/2021,0.1,03/02/2021,2021
03/03/2021,0.1,03/03/2021,2021
04/03/2021,0.1,03/04/2021,2021
05/03/2021,0.1,03/05/2021,2021
08/03/2021,0.1,03/08/2021,2021
09/03/2021,0.1,03/09/2021,2021
10/03/2021,0.1,03/10/2021,2021
11/03/2021,0.1,03/11/2021,2021
12/03/2021,0.1,03/12/2021,2021
15/03/2021,0.1,03/15/2021,2021
16/03/2021,0.1,03/16/2021,2021
17/03/2021,0.1,03/17/2021,2021
18/03/2021,0.1,03/18/2021,2021
19/03/2021,0.1,03/19/2021,2021
22/03/2021,0.1,03/22/2021,2021
23/03/2021,0.1,03/23/2021,2021
24/03/2021,0.1,03/24/2021,2021
25/03/2021,0.1,03/25/2021,2021
26/03/2021,0.1,03/26/2021,2021
29/03/2021,0.1,03/29/2021,2021
30/03/2021,0.1,03/30/2021,2021
31/03/2021,0.1,03/31/2021,2021
01/04/2021,0.1,04/01/2021,2021
06/04/2021,0.1,04/06/2021,2021
07/04/2021,0.1,04/07/2021,2021
08/04/2021,0.1,04/08/2021,2021
09/04/2021,0.1,04/09/2021,2021
12/04/2021,0.1,04/12/2021,2021
13/04/2021,0.1,04/13/2021,2021
14/04/2021,0.1,04/14/2021,2021
15/04/2021,0.1,04/15/2021,2021
16/04/2021,0.1,04/16/2021,2021
19/04/2021,0.1,04/19/2021,2021
20/04/2021,0.1,04/20/2021,2021
21/04/2021,0.1,04/21/2021,2021
22/04/2021,0.1,04/22/2021,2021
23/04/2021,0.1,04/23/2021,2021
26/04/2021,0.1,04/26/2021,2021
27/04/2021,0.1,04/27/2021,2021
28/04/2021,0.1,04/28/2021,2021
29/04/2021,0.1,04/29/2021,2021
30/04/2021,0.1,04/30/2021,2021
04/05/2021,0.1,05/04/2021,2021
05/05/2021,0.1,05/05/2021,2021
06/05/2021,0.1,05/06/2021,2021
07/05/2021,0.1,05/07/2021,2021
10/05/2021,0.1,05/10/2021,2021
11/05/2021,0.1,05/11/2021,2021
12/05/2021,0.1,05/12/2021,2021
13/05/2021,0.1,05/13/2021,2021
14/05/2021,0.1,05/14/2021,2021
17/05/2021,0.1,05/17/2021,2021
18/05/2021,0.1,05/18/2021,2021
19/05/2021,0.1,05/19/2021,2021
20/05/2021,0.1,05/20/2021,2021
21/05/2021,0.1,05/21/2021,2021
24/05/2021,0.1,05/24/2021,2021
25/05/2021,0.1,05/25/2021,2021
26/05/2021,0.1,05/26/2021,2021
27/05/2021,0.1,05/27/2021,2021
28/05/2021,0.1,05/28/2021,2021
01/06/2021,0.1,06/01/2021,2021
02/06/2021,0.1,06/02/2021,2021
03/06/2021,0.1,06/03/2021,2021
04/06/2021,0.1,06/04/2021,2021
07/06/2021,0.1,06/07/2021,2021
08/06/2021,0.1,06/08/2021,2021
09/06/2021,0.1,06/09/2021,2021
10/06/2021,0.1,06/10/2021,2021
11/06/2021,0.1,06/11/2021,2021
14/06/2021,0.1,06/14/2021,2021
15/06/2021,0.1,06/15/2021,2021
16/06/2021,0.1,06/16/2021,2021
17/06/2021,0.1,06/17/2021,2021
18/06/2021,0.1,06/18/2021,2021
21/06/2021,0.1,06/21/2021,2021
22/06/2021,0.1,06/22/2021,2021
23/06/2021,0.1,06/23/2021,2021
24/06/2021,0.1,06/24/2021,2021
25/06/2021,0.1,06/25/2021,2021
28/06/2021,0.1,06/28/2021,2021
29/06/2021,0.1,06/29/2021,2021
30/06/2021,0.1,06/30/2021,2021
01/07/2021,0.1,07/01/2021,2021
02/07/2021,0.1,07/02/2021,2021
05/07/2021,0.1,07/05/2021,2021
06/07/2021,0.1,07/06/2021,2021
07/07/2021,0.1,07/07/2021,2021
08/07/2021,0.1,07/08/2021,2021
09/07/2021,0.1,07/09/2021,2021
12/07/2021,0.1,07/12/2021,2021
13/07/2021,0.1,07/13/2021,2021
14/07/2021,0.1,07/14/2021,2021
15/07/2021,0.1,07/15/2021,2021
16/07/2021,0.1,07/16/2021,2021
19/07/2021,0.1,07/19/2021,2021
20/07/2021,0.1,07/20/2021,2021
21/07/2021,0.1,07/21/2021,2021
22/07/2021,0.1,07/22/2021,2021
23/07/2021,0.1,07/23/2021,2021
26/07/2021,0.1,07/26/2021,2021
27/07/2021,0.1,07/27/2021,2021
28/07/2021,0.1,07/28/2021,2021
29/07/2021,0.1,07/29/2021,2021
30/07/2021,0.1,07/30/2021,2021
02/08/2021,0.1,08/02/2021,2021
03/08/2021,0.1,08/03/2021,2021
04/08/2021,0.1,08/04/2021,2021
05/08/2021,0.1,08/05/2021,2021
06/08/2021,0.1,08/06/2021,2021
09/08/2021,0.1,08/09/2021,2021
10/08/2021,0.1,08/10/2021,2021
11/08/2021,0.1,08/11/2021,2021
12/08/2021,0.1,08/12/2021,2021
13/08/2021,0.1,08/13/2021,2021
16/08/2021,0.1,08/16/2021,2021
17/08/2021,0.1,08/17/2021,2021
18/08/2021,0.1,08/18/2021,2021
19/08/2021,0.1,08/19/2021,2021
20/08/2021,0.1,08/20/2021,2021
23/08/2021,0.1,08/23/2021,2021
24/08/2021,0.1,08/24/2021,2021
25/08/2021,0.1,08/25/2021,2021
26/08/2021,0.1,08/26/2021,2021
27/08/2021,0.1,08/27/2021,2021
31/08/2021,0.1,08/31/2021,2021
01/09/2021,0.1,09/01/2021,2021
02/09/2021,0.1,09/02/2021,2021
03/09/2021,0.1,09/03/2021,2021
06/09/2021,0.1,09/06/2021,2021
07/09/2021,0.1,09/07/2021,2021
08/09/2021,0.1,09/08/2021,2021
09/09/2021,0.1,09/09/2021,2021
10/09/2021,0.1,09/10/2021,2021
13/09/2021,0.1,09/13/2021,2021
14/09/2021,0.1,09/14/2021,2021
15/09/2021,0.1,09/15/2021,2021
16/09/2021,0.1,09/16/2021,2021
17/09/2021,0.1,09/17/2021,2021
20/09/2021,0.1,09/20/2021,2021
21/09/2021,0.1,09/21/2021,2021
22/09/2021,0.1,09/22/2021,2021
23/09/2021,0.1,09/23/2021,2021
24/09/2021,0.1,09/24/2021,2021
27/09/2021,0.1,09/27/2021,2021
28/09/2021,0.1,09/28/2021,2021
29/09/2021,0.1,09/29/2021,2021
30/09/2021,0.1,09/30/2021,2021
01/10/2021,0.1,10/01/2021,2021
04/10/2021,0.1,10/04/2021,2021
05/10/2021,0.1,10/05/2021,2021
06/10/2021,0.1,10/06/2021,2021
07/10/2021,0.1,10/07/2021,2021
08/10/2021,0.1,10/08/2021,2021
11/10/2021,0.1,10/11/2021,2021
12/10/2021,0.1,10/12/2021,2021
13/10/2021,0.1,10/13/2021,2021
14/10/2021,0.1,10/14/2021,2021
15/10/2021,0.1,10/15/2021,2021
18/10/2021,0.1,10/18/2021,2021
19/10/2021,0.1,10/19/2021,2021
20/10/2021,0.1,10/20/2021,2021
21/10/2021,0.1,10/21/2021,2021
22/10/2021,0.1,10/22/2021,2021
25/10/2021,0.1,10/25/2021,2021
26/10/2021,0.1,10/26/2021,2021
27/10/2021,0.1,10/27/2021,2021
28/10/2021,0.1,10/28/2021,2021
29/10/2021,0.1,10/29/2021,2021
01/11/2021,0.1,11/01/2021,2021
02/11/2021,0.1,11/02/2021,2021
03/11/2021,0.1,11/03/2021,2021
04/11/2021,0.1,11/04/2021,2021
05/11/2021,0.1,11/05/2021,2021
08/11/2021,0.1,11/08/2021,2021
09/11/2021,0.1,11/09/2021,2021
10/11/2021,0.1,11/10/2021,2021
11/11/2021,0.1,11/11/2021,2021
12/11/2021,0.1,11/12/2021,2021
15/11/2021,0.1,11/15/2021,2021
16/11/2021,0.1,11/16/2021,2021
17/11/2021,0.1,11/17/2021,2021
18/11/2021,0.1,11/18/2021,2021
19/11/2021,0.1,11/19/2021,2021
22/11/2021,0.1,11/22/2021,2021
23/11/2021,0.1,11/23/2021,2021
24/11/2021,0.1,11/24/2021,2021
25/11/2021,0.1,11/25/2021,2021
26/11/2021,0.1,11/26/2021,2021
29/11/2021,0.1,11/29/2021,2021
30/11/2021,0.1,11/30/2021,2021
01/12/2021,0.1,12/01/2021,2021
02/12/2021,0.1,12/02/2021,2021
03/12/2021,0.1,12/03/2021,2021
06/12/2021,0.1,12/06/2021,2021
07/12/2021,0.1,12/07/2021,2021
08/12/2021,0.1,12/08/2021,2021
09/12/2021,0.1,12/09/2021,2021
10/12/2021,0.1,12/10/2021,2021
13/12/2021,0.1,12/13/2021,2021
14/12/2021,0.1,12/14/2021,2021
15/12/2021,0.1,12/15/2021,2021
16/12/2021,0.25,12/16/2021,2021
17/12/2021,0.25,12/17/2021,2021
20/12/2021,0.25,12/20/2021,2021
21/12/2021,0.25,12/21/2021,2021
22/12/2021,0.25,12/22/2021,2021
23/12/2021,0.25,12/23/2021,2021
24/12/2021,0.25,12/24/2021,2021
29/12/2021,0.25,12/29/2021,2021
30/12/2021,0.25,12/30/2021,2021
31/12/2021,0.25,12/31/2021,2021
04/01/2022,0.25,01/04/2022,2022
05/01/2022,0.25,01/05/2022,2022
06/01/2022,0.25,01/06/2022,2022
07/01/2022,0.25,01/07/2022,2022
10/01/2022,0.25,01/10/2022,2022
11/01/2022,0.25,01/11/2022,2022
12/01/2022,0.25,01/12/2022,2022
13/01/2022,0.25,01/13/2022,2022
14/01/2022,0.25,01/14/2022,2022
17/01/2022,0.25,01/17/2022,2022
18/01/2022,0.25,01/18/2022,2022
19/01/2022,0.25,01/19/2022,2022
20/01/2022,0.25,01/20/2022,2022
21/01/2022,0.25,01/21/2022,2022
24/01/2022,0.25,01/24/2022,2022
25/01/2022,0.25,01/25/2022,2022
26/01/2022,0.25,01/26/2022,2022
27/01/2022,0.25,01/27/2022,2022
28/01/2022,0.25,01/28/2022,2022
31/01/2022,0.25,01/31/2022,2022
01/02/2022,0.25,02/01/2022,2022
02/02/2022,0.25,02/02/2022,2022
03/02/2022,0.5,02/03/2022,2022
04/02/2022,0.5,02/04/2022,2022
07/02/2022,0.5,02/07/2022,2022
08/02/2022,0.5,02/08/2022,2022
09/02/2022,0.5,02/09/2022,2022
10/02/2022,0.5,02/10/2022,2022
11/02/2022,0.5,02/11/2022,2022
14/02/2022,0.5,02/14/2022,2022
15/02/2022,0.5,02/15/2022,2022
16/02/2022,0.5,02/16/2022,2022
17/02/2022,0.5,02/17/2022,2022
18/02/2022,0.5,02/18/2022,2022
21/02/2022,0.5,02/21/2022,2022
22/02/2022,0.5,02/22/2022,2022
23/02/2022,0.5,02/23/2022,2022
24/02/2022,0.5,02/24/2022,2022
25/02/2022,0.5,02/25/2022,2022
28/02/2022,0.5,02/28/2022,2022
01/03/2022,0.5,03/01/2022,2022
02/03/2022,0.5,03/02/2022,2022
03/03/2022,0.5,03/03/2022,2022
04/03/2022,0.5,03/04/2022,2022
07/03/2022,0.5,03/07/2022,2022
08/03/2022,0.5,03/08/2022,2022
09/03/2022,0.5,03/09/2022,2022
10/03/2022,0.5,03/10/2022,2022
11/03/2022,0.5,03/11/2022,2022
14/03/2022,0.5,03/14/2022,2022
15/03/2022,0.5,03/15/2022,2022
16/03/2022,0.5,03/16/2022,2022
17/03/2022,0.75,03/17/2022,2022
18/03/2022,0.75,03/18/2022,2022
21/03/2022,0.75,03/21/2022,2022
22/03/2022,0.75,03/22/2022,2022
23/03/2022,0.75,03/23/2022,2022
24/03/2022,0.75,03/24/2022,2022
25/03/2022,0.75,03/25/2022,2022
28/03/2022,0.75,03/28/2022,2022
29/03/2022,0.75,03/29/2022,2022
30/03/2022,0.75,03/30/2022,2022
31/03/2022,0.75,03/31/2022,2022
01/04/2022,0.75,04/01/2022,2022
04/04/2022,0.75,04/04/2022,2022
05/04/2022,0.75,04/05/2022,2022
06/04/2022,0.75,04/06/2022,2022
07/04/2022,0.75,04/07/2022,2022
08/04/2022,0.75,04/08/2022,2022
11/04/2022,0.75,04/11/2022,2022
12/04/2022,0.75,04/12/2022,2022
13/04/2022,0.75,04/13/2022,2022
14/04/2022,0.75,04/14/2022,2022
19/04/2022,0.75,04/19/2022,2022
20/04/2022,0.75,04/20/2022,2022
21/04/2022,0.75,04/21/2022,2022
22/04/2022,0.75,04/22/2022,2022
25/04/2022,0.75,04/25/2022,2022
26/04/2022,0.75,04/26/2022,2022
27/04/2022,0.75,04/27/2022,2022
28/04/2022,0.75,04/28/2022,2022
29/04/2022,0.75,04/29/2022,2022
03/05/2022,0.75,05/03/2022,2022
04/05/2022,0.75,05/04/2022,2022
05/05/2022,1,05/05/2022,2022
06/05/2022,1,05/06/2022,2022
09/05/2022,1,05/09/2022,2022
10/05/2022,1,05/10/2022,2022
11/05/2022,1,05/11/2022,2022
12/05/2022,1,05/12/2022,2022
13/05/2022,1,05/13/2022,2022
16/05/2022,1,05/16/2022,2022
17/05/2022,1,05/17/2022,2022
18/05/2022,1,05/18/2022,2022
19/05/2022,1,05/19/2022,2022
20/05/2022,1,05/20/2022,2022
23/05/2022,1,05/23/2022,2022
24/05/2022,1,05/24/2022,2022
25/05/2022,1,05/25/2022,2022
26/05/2022,1,05/26/2022,2022
27/05/2022,1,05/27/2022,2022
30/05/2022,1,05/30/2022,2022
31/05/2022,1,05/31/2022,2022
01/06/2022,1,06/01/2022,2022
06/06/2022,1,06/06/2022,2022
07/06/2022,1,06/07/2022,2022
08/06/2022,1,06/08/2022,2022
09/06/2022,1,06/09/2022,2022
10/06/2022,1,06/10/2022,2022
13/06/2022,1,06/13/2022,2022
14/06/2022,1,06/14/2022,2022
15/06/2022,1,06/15/2022,2022
16/06/2022,1.25,06/16/2022,2022
17/06/2022,1.25,06/17/2022,2022
20/06/2022,1.25,06/20/2022,2022
21/06/2022,1.25,06/21/2022,2022
22/06/2022,1.25,06/22/2022,2022
23/06/2022,1.25,06/23/2022,2022
24/06/2022,1.25,06/24/2022,2022
27/06/2022,1.25,06/27/2022,2022
28/06/2022,1.25,06/28/2022,2022
29/06/2022,1.25,06/29/2022,2022
30/06/2022,1.25,06/30/2022,2022
01/07/2022,1.25,07/01/2022,2022
04/07/2022,1.25,07/04/2022,2022
05/07/2022,1.25,07/05/2022,2022
06/07/2022,1.25,07/06/2022,2022
07/07/2022,1.25,07/07/2022,2022
08/07/2022,1.25,07/08/2022,2022
11/07/2022,1.25,07/11/2022,2022
12/07/2022,1.25,07/12/2022,2022
13/07/2022,1.25,07/13/2022,2022
14/07/2022,1.25,07/14/2022,2022
15/07/2022,1.25,07/15/2022,2022
18/07/2022,1.25,07/18/2022,2022
19/07/2022,1.25,07/19/2022,2022
20/07/2022,1.25,07/20/2022,2022
21/07/2022,1.25,07/21/2022,2022
22/07/2022,1.25,07/22/2022,2022
25/07/2022,1.25,07/25/2022,2022
26/07/2022,1.25,07/26/2022,2022
27/07/2022,1.25,07/27/2022,2022
28/07/2022,1.25,07/28/2022,2022
29/07/2022,1.25,07/29/2022,2022
01/08/2022,1.25,08/01/2022,2022
02/08/2022,1.25,08/02/2022,2022
03/08/2022,1.25,08/03/2022,2022
04/08/2022,1.75,08/04/2022,2022
05/08/2022,1.75,08/05/2022,2022
08/08/2022,1.75,08/08/2022,2022
09/08/2022,1.75,08/09/2022,2022
10/08/2022,1.75,08/10/2022,2022
11/08/2022,1.75,08/11/2022,2022
12/08/2022,1.75,08/12/2022,2022
15/08/2022,1.75,08/15/2022,2022
16/08/2022,1.75,08/16/2022,2022
17/08/2022,1.75,08/17/2022,2022
18/08/2022,1.75,08/18/2022,2022
19/08/2022,1.75,08/19/2022,2022
22/08/2022,1.75,08/22/2022,2022
23/08/2022,1.75,08/23/2022,2022
24/08/2022,1.75,08/24/2022,2022
25/08/2022,1.75,08/25/2022,2022
26/08/2022,1.75,08/26/2022,2022
30/08/2022,1.75,08/30/2022,2022
31/08/2022,1.75,08/31/2022,2022
01/09/2022,1.75,09/01/2022,2022
02/09/2022,1.75,09/02/2022,2022
05/09/2022,1.75,09/05/2022,2022
06/09/2022,1.75,09/06/2022,2022
07/09/2022,1.75,09/07/2022,2022
08/09/2022,1.75,09/08/2022,2022
09/09/2022,1.75,09/09/2022,2022
12/09/2022,1.75,09/12/2022,2022
13/09/2022,1.75,09/13/2022,2022
14/09/2022,1.75,09/14/2022,2022
15/09/2022,1.75,09/15/2022,2022
16/09/2022,1.75,09/16/2022,2022
20/09/2022,1.75,09/20/2022,2022
21/09/2022,1.75,09/21/2022,2022
22/09/2022,2.25,09/22/2022,2022
23/09/2022,2.25,09/23/2022,2022
26/09/2022,2.25,09/26/2022,2022
27/09/2022,2.25,09/27/2022,2022
28/09/2022,2.25,09/28/2022,2022
29/09/2022,2.25,09/29/2022,2022
30/09/2022,2.25,09/30/2022,2022
03/10/2022,2.25,10/03/2022,2022
04/10/2022,2.25,10/04/2022,2022
05/10/2022,2.25,10/05/2022,2022
06/10/2022,2.25,10/06/2022,2022
07/10/2022,2.25,10/07/2022,2022
10/10/2022,2.25,10/10/2022,2022
11/10/2022,2.25,10/11/2022,2022
12/10/2022,2.25,10/12/2022,2022
13/10/2022,2.25,10/13/2022,2022
14/10/2022,2.25,10/14/2022,2022
17/10/2022,2.25,10/17/2022,2022
18/10/2022,2.25,10/18/2022,2022
19/10/2022,2.25,10/19/2022,2022
20/10/2022,2.25,10/20/2022,2022
21/10/2022,2.25,10/21/2022,2022
24/10/2022,2.25,10/24/2022,2022
25/10/2022,2.25,10/25/2022,2022
26/10/2022,2.25,10/26/2022,2022
27/10/2022,2.25,10/27/2022,2022
28/10/2022,2.25,10/28/2022,2022
31/10/2022,2.25,10/31/2022,2022
01/11/2022,2.25,11/01/2022,2022
02/11/2022,2.25,11/02/2022,2022
03/11/2022,3,11/03/2022,2022
04/11/2022,3,11/04/2022,2022
07/11/2022,3,11/07/2022,2022
08/11/2022,3,11/08/2022,2022
09/11/2022,3,11/09/2022,2022
10/11/2022,3,11/10/2022,2022
11/11/2022,3,11/11/2022,2022
14/11/2022,3,11/14/2022,2022
15/11/2022,3,11/15/2022,2022
16/11/2022,3,11/16/2022,2022
17/11/2022,3,11/17/2022,2022
18/11/2022,3,11/18/2022,2022
21/11/2022,3,11/21/2022,2022
22/11/2022,3,11/22/2022,2022
23/11/2022,3,11/23/2022,2022
24/11/2022,3,11/24/2022,2022
25/11/2022,3,11/25/2022,2022
28/11/2022,3,11/28/2022,2022
29/11/2022,3,11/29/2022,2022
30/11/2022,3,11/30/2022,2022
01/12/2022,3,12/01/2022,2022
02/12/2022,3,12/02/2022,2022
05/12/2022,3,12/05/2022,2022
06/12/2022,3,12/06/2022,2022
07/12/2022,3,12/07/2022,2022
08/12/2022,3,12/08/2022,2022
09/12/2022,3,12/09/2022,2022
12/12/2022,3,12/12/2022,2022
13/12/2022,3,12/13/2022,2022
14/12/2022,3,12/14/2022,2022
15/12/2022,3.5,12/15/2022,2022
16/12/2022,3.5,12/16/2022,2022
19/12/2022,3.5,12/19/2022,2022
20/12/2022,3.5,12/20/2022,2022
21/12/2022,3.5,12/21/2022,2022
22/12/2022,3.5,12/22/2022,2022
